Facility Name,CMS Certification Number (CCN),Address,City,State,Zip Code,Network,VAT Catheter Measure Score Applied,National Average VAT Catheter Measure Score,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Measure Score Applied,National Average VAT Fistula Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Achievement Period Numerator,Kt/V Comprehensive Achievement Period Denominator,Kt/V Comprehensive Improvement Period Denominator,Kt/V Comprehensive Measure Score Applied,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,Hypercalcemia Reason for No Score (See Footnotes File),Hypercalcemia Achievement Measure Rate,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Measure Score Applied,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score Applied,National Average NHSN BSI Measure Score,NHSN Dialysis Event Reporting Number of Months Reported,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),ICH CAHPS Achievement Period Count of Completed Surveys,ICH CAHPS Improvement Period Count of Completed Surveys,ICH CAHPS Measure Score Applied,National Average ICH CAHPS Measure Score,ICH CAHPS Neph Comm and Caring Measure Score Applied,Serum Phosphorus Measure Score,National Average Serum Phosphorus Measure Score,National Average Anemia Management Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Period Numerator,SRR Measure Score Applied,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,STrR Achievement Measure Ratio,Number of Patient-Years at Risk in STrR Achievement Period,STrR Achievement Period Numerator,STrR Achievement Period Denominator,STrR Improvement Measure Ratio,STrR Measure Score Applied,National Average STrR Measure Score,SHR Achievement Period Numerator,SHR Achievement Period Denominator,SHR Measure Score Applied,National Average SHR Measure Score,Pain Assessment and Follow-up Measure Score,Ultrafiltration Measure Score,Ultrafiltration Reason for No Score (See Footnotes File),National Average Ultrafiltration Measure Score,Total-Performance-Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
DIALYZE DIRECT FL,682588,1601 CLINT MOORE AVE #160 ,BOCA RATON,FL,33487,7,Achievement,5,48,142,Achievement,5,5,,,,N/A,7,0,-,8.86%,14,158,Achievement,10,N/A,6,,,7,No Score,6,N/A,N/A,N/A,5,N/A,8,9,10,-,36,27.486,9,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,55,30.157,Achievement,5,9,No Score,1,4,15,2.00%,9/9/2015,NOT A CHAIN,9/9/2015
"USRC BOYNTON BEACH, LLC",682589,1500 W GATEWAY BLVD SUITE 190,BOYNTON BEACH,FL,33426,7,Achievement,5,129,230,Improvement,5,5,318,322,205,Achievement,7,10,-,0.00%,0,321,Achievement,10,Achievement,6,12,10,7,No Score,10,17,14,N/A,5,N/A,8,9,10,-,8,10.483,4,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,35,38.895,Achievement,5,10,7,-,4,81,No Reduction,12/16/2015,"US RENAL CARE, INC.",12/16/2015
"UNITED DIALYSIS CENTER, INC.",682590,1311 E ATLANTIC BLVD ,POMPANO BEACH,FL,33060,7,Achievement,5,110,212,Improvement,5,5,206,229,136,Achievement,7,7,-,1.58%,4,253,Improvement,10,Achievement,6,0,0,7,No Score,10,N/A,N/A,N/A,5,N/A,10,9,10,-,13,10.621,7,Improvement,5,6,0.869,10.00136893,5,3.52,No Ratio,Achievement,5,46,37.899,Achievement,5,10,7,-,4,25,2.00%,11/18/2015,NOT A CHAIN,11/18/2015
CENTRAL FLORIDA KINDEY CENTER-EAST ORLANDO,682591,401 S CHICKASAW TRAIL ,ORLANDO,FL,32825,7,Achievement,5,203,544,Achievement,5,5,764,825,703,Achievement,7,6,-,0.89%,8,898,Achievement,10,Achievement,6,12,8,7,No Score,5,26,N/A,N/A,5,N/A,10,9,10,-,95,61.707,101,Achievement,5,1,1.357,47.59206023,26,19.166,1.044,Achievement,5,225,129.5,Improvement,5,10,0,-,4,27,2.00%,12/22/2015,CENTRAL FLORIDA KIDNEY CENTERS,12/23/2015
GAINESVILLE NEWBERRY DIALYSIS,682592,1177 NW 64TH TERRACE ,GAINESVILLE,FL,32605,7,Improvement,5,147,255,Improvement,5,5,306,326,199,Achievement,7,2,-,1.95%,6,307,Achievement,10,Achievement,6,12,4,7,No Score,5,13,<11,N/A,5,N/A,9,9,10,-,31,17.694,18,Achievement,5,0,1.542,13.48117728,10,4.429,0.522,Achievement,5,67,47.642,Improvement,5,10,0,-,4,30,1.50%,1/4/2016,DAVITA,1/4/2016
FMC - CORAL GABLES LLC,682593,238 PALERMO AVENUE ,MIAMI,FL,33134,7,Achievement,5,83,116,Achievement,5,5,277,286,88,Improvement,7,10,-,0.00%,0,427,Achievement,10,Achievement,6,12,6,7,No Score,5,<11,N/A,N/A,5,N/A,10,9,10,-,9,4.158,,Achievement,5,1,1.403,11.85763176,8,3.552,No Ratio,Achievement,5,22,19.642,Achievement,5,10,8,-,4,53,0.50%,8/27/2015,FRESENIUS MEDICAL CARE,8/27/2015
TAMPA BAY DIALYSIS,682594,2301 W MARTIN LUTHER KING JR BLVD ,TAMPA,FL,33604,7,Improvement,5,124,161,Achievement,5,5,336,355,104,Improvement,7,5,-,1.12%,4,358,Achievement,10,Achievement,6,12,8,7,No Score,5,12,12,N/A,5,N/A,8,9,10,-,17,12.98,6,Improvement,5,0,1.966,10.33812457,13,3.494,No Ratio,Achievement,5,45,30.111,Improvement,5,10,5,-,4,51,0.50%,2/9/2016,DAVITA,2/9/2016
CAPE CORAL HOME TRAINING,682595,3637 DEL PRADO BLVD S SUITE 202,CAPE CORAL,FL,33904,7,Achievement,5,69,128,Achievement,5,5,392,400,337,Achievement,7,9,-,0.19%,1,532,Achievement,10,N/A,6,,,7,No Score,"6, 10",N/A,N/A,N/A,5,N/A,9,9,10,-,15,14.633,18,Achievement,5,5,1.294,19.23066393,9,5.732,2.355,Improvement,5,69,49.833,Improvement,5,10,No Score,1,4,66,No Reduction,3/1/2016,DAVITA,3/1/2016
KENNEDY BOULEVARD DIALYSIS,682596,2205 W KENNEDY BLVD ,TAMPA,FL,33606,7,Improvement,5,180,303,Achievement,5,5,545,587,446,Achievement,7,7,-,0.68%,4,589,Achievement,10,Achievement,6,12,8,7,No Score,5,20,16,N/A,5,N/A,7,9,10,-,32,24.928,25,Achievement,5,0,2.579,19.39493498,24,8.361,2.57,Achievement,5,99,69.006,Achievement,5,10,3,-,4,34,1.50%,2/19/2016,DAVITA,2/19/2016
"FIRST PREVENTION & DIALYSIS CENTER, LLC",682597,17940 NW 27TH  AVENUE ,MIAMI GARDENS,FL,33056,7,Improvement,5,161,241,Improvement,5,5,315,355,322,Achievement,7,6,-,0.84%,3,356,Achievement,10,Achievement,6,0,0,7,No Score,5,<11,N/A,N/A,5,N/A,4,9,10,-,20,19.937,25,Achievement,5,6,1.323,17.60985626,9,5.884,3.332,Improvement,5,68,41.769,Achievement,5,10,2,-,4,31,1.50%,2/25/2016,NOT A CHAIN,2/25/2016
LAND O LAKES DIALYSIS,682598,2100 VIA BELLA BLVD SUITE# 104,LAND O LAKES,FL,34639,7,Achievement,5,351,542,Achievement,5,5,822,870,633,Achievement,7,5,-,1.27%,11,866,Achievement,10,Achievement,6,12,10,7,7,-,34,35,Achievement,5,Achievement,4,9,10,-,34,30.881,34,Improvement,5,0,1.57,38.92402464,22,14.009,0.801,Achievement,5,114,110.554,Achievement,5,10,1,-,4,55,0.50%,3/9/2016,DAVITA,3/9/2016
WEST ORANGE MAITLAND DIALYSIS CENTER LLC,682599,7960 FORREST CITY RD SUITE 105,ORLANDO,FL,32810,7,Achievement,5,171,281,Achievement,5,5,287,303,524,Improvement,7,5,-,2.87%,9,314,Improvement,10,Achievement,6,9,1,7,No Score,5,19,17,N/A,5,N/A,10,9,10,-,35,23.236,36,Achievement,5,2,1.303,18.01505818,10,6.666,1.427,Achievement,5,79,49.204,Achievement,5,10,4,-,4,38,1.50%,3/14/2016,NOT A CHAIN,3/14/2016
WEST ORANGE WINTER GARDEN DIALYSIS CENTER LLC,682600,1210 E PLANT ST SUITE 130,WINTER GARDEN,FL,34787,7,Achievement,5,297,686,Achievement,5,5,879,978,914,Achievement,7,6,-,1.60%,16,1001,Improvement,10,Achievement,6,11,1,7,5,-,33,36,Achievement,5,Achievement,7,9,10,-,71,50.241,52,Achievement,5,0,2.258,51.63586585,45,19.931,1.514,Achievement,5,215,171.294,Achievement,5,10,0,-,4,18,2.00%,3/7/2016,NOT A CHAIN,3/7/2016
"AQUANOVA, INC.",682601,18004 NW 6TH STREET #104,PEMBROKE PINES,FL,33029,7,N/A,5,,,N/A,5,5,,,,N/A,7,No Score,1,No Rate,,,N/A,10,N/A,6,,,7,No Score,6,N/A,N/A,N/A,5,N/A,No Score,9,10,13,,,,N/A,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,,,N/A,5,No Score,No Score,1,4,,No Reduction,2/11/2016,NOT A CHAIN,2/12/2016
EAST TALLAHASSEE HOME TRAINING,682602,2417 MILL CREEK LN UNIT 3,TALLAHASSEE,FL,32308,7,N/A,5,,,N/A,5,5,334,356,242,Achievement,7,0,-,3.98%,14,352,Achievement,10,N/A,6,,,7,No Score,"6, 10",N/A,N/A,N/A,5,N/A,8,9,10,-,1,4.887,4,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,30,25.685,Achievement,5,10,No Score,1,4,56,0.50%,4/4/2016,DAVITA,4/4/2016
"HOME DIALYSIS SERVICES NORTH TAMPA, LLC",682604,7187 BROAD STREET ,BROOKSVILLE,FL,34601,7,N/A,5,,,N/A,5,5,21,144,117,Improvement,7,0,-,2.56%,6,144,Achievement,10,N/A,6,,,7,No Score,6,N/A,N/A,N/A,5,N/A,No Score,9,10,-,8,5.456,5,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,23,12.652,Improvement,5,10,No Score,1,4,39,1.00%,5/31/2016,NOT A CHAIN,2/5/2018
FMC-AUBURNDALE,682605,365 HAVENDALE BLVD ,AUBURNDALE,FL,33823,7,Improvement,5,128,258,Achievement,5,5,299,316,88,Improvement,7,0,-,2.79%,9,323,Achievement,10,Achievement,6,12,7,7,No Score,5,13,N/A,N/A,5,N/A,8,9,10,-,12,14.709,8,Achievement,5,5,0.894,15.11841205,6,5.384,No Ratio,Achievement,5,43,37.204,Improvement,5,10,1,-,4,51,0.50%,5/9/2016,FRESENIUS MEDICAL CARE,5/9/2016
FMC- OCEAN SOUND DIALYSIS,682606,2876 NE 8TH STREET ,HOMESTEAD,FL,33033,7,Improvement,5,383,553,Achievement,5,5,657,674,242,Achievement,7,9,-,0.15%,1,669,Achievement,10,Achievement,6,12,8,7,No Score,5,27,18,N/A,5,N/A,10,9,10,-,22,19.972,17,Achievement,5,7,0.905,11.8220397,8,8.838,2.574,Improvement,5,89,74.475,Improvement,5,10,2,-,4,66,No Reduction,1/22/2016,FRESENIUS MEDICAL CARE,1/22/2016
LAKE CITY HOME THERAPIES,682607,215 SW PROSPERITY PLACE SUITE 101,LAKE CITY,FL,32024,7,Achievement,5,109,141,Achievement,5,5,71,83,146,Improvement,7,1,-,2.26%,6,266,Achievement,10,N/A,6,,,7,No Score,"6, 10",N/A,N/A,N/A,5,N/A,10,9,10,-,8,4.664,9,Achievement,5,3,1.114,14.03422313,7,4.623,0.554,Achievement,5,24,24.082,Improvement,5,10,No Score,1,4,57,0.50%,5/26/2016,FRESENIUS MEDICAL CARE,5/26/2016
NULIFE DIALYSIS INC.,682608,4805 NW 183RD STREET ,OPA LOCKA,FL,33055,7,Improvement,5,56,110,Improvement,5,5,257,286,168,Improvement,7,0,-,38.29%,103,269,Achievement,10,Achievement,6,0,0,7,0,-,N/A,N/A,Achievement,5,Achievement,8,9,10,-,9,9.381,18,Improvement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,41,26.369,Improvement,5,5,7,-,4,30,1.50%,5/17/2016,NOT A CHAIN,5/17/2016
FMC-TROUT RIVER DIALYSIS,682609,3107 EDGEWOOD AVE W ,JACKSONVILLE,FL,32209,7,Achievement,5,236,378,Improvement,5,5,703,762,135,Achievement,7,6,-,1.16%,9,774,Improvement,10,Achievement,6,12,8,7,No Score,5,22,N/A,N/A,5,N/A,8,9,10,-,44,32.208,3,Achievement,5,0,2.269,24.80219028,20,8.814,No Ratio,Achievement,5,120,85.563,Achievement,5,10,0,-,4,33,1.50%,7/13/2016,FRESENIUS MEDICAL CARE,2/20/2017
PALM COAST HOME TRAINING,682610,80 PINNACLES DR STE 1000,PALM COAST,FL,32164,7,N/A,5,,,N/A,5,5,333,336,345,Achievement,7,8,-,2.03%,8,395,Improvement,10,N/A,6,,,7,No Score,"6, 10",N/A,N/A,N/A,5,N/A,9,9,10,-,6,7.246,12,Achievement,5,4,2.066,17.7522245,14,5.584,3.538,Improvement,5,30,39.855,Achievement,5,10,No Score,1,4,81,No Reduction,8/9/2016,DAVITA,8/9/2016
APOLLO RENAL CENTER MIAMI LLC,682611,955 NW 3RD ST ,MIAMI,FL,33128,7,Achievement,5,52,150,Achievement,5,5,462,552,284,Improvement,7,8,-,2.97%,16,538,Improvement,10,Achievement,6,12,9,7,0,-,N/A,N/A,Achievement,5,Achievement,5,9,10,-,19,11.085,7,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,55,38.614,Achievement,5,10,0,-,4,28,2.00%,11/16/2016,NOT A CHAIN,6/13/2017
LAKE SEMINOLE DIALYSIS,682612,10799 PARK BLVD NORTH ,SEMINOLE,FL,33772,7,Achievement,5,120,181,Achievement,5,5,214,224,,Achievement,7,0,-,3.27%,7,214,Achievement,10,Achievement,6,12,8,7,No Score,10,<11,N/A,N/A,5,N/A,7,9,10,-,9,7.534,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,21,22.93,Achievement,5,10,1,-,4,60,No Reduction,11/9/2016,DAVITA,5/24/2017
ARA COLLINS ROAD DIALYSIS CENTER,682613,6196 LAKE GRAY BLVD SUITE 112,JACKSONVILLE,FL,32244,7,Achievement,5,107,165,Achievement,5,5,318,321,165,Achievement,7,10,-,0.00%,0,320,Achievement,10,Achievement,6,12,4,7,No Score,10,<11,N/A,N/A,5,N/A,10,9,10,-,11,12.832,6,Achievement,5,0,1.501,11.44147844,10,3.989,No Ratio,Achievement,5,44,31.427,Achievement,5,10,10,-,4,58,0.50%,2/17/2017,AMERICAN RENAL ASSOCIATES,5/31/2018
FRESENIUS KIDNEY CARE ORANGE PARK NORTH,682614,2010 WELLS POND COURT ,ORANGE PARK,FL,32073,7,Achievement,5,96,145,Achievement,5,5,252,255,,Achievement,7,10,-,0.00%,0,258,Achievement,10,Achievement,6,12,8,7,No Score,5,<11,N/A,N/A,5,N/A,10,9,10,-,14,9.61,,Achievement,5,7,0.72,11.43600274,4,3.971,No Ratio,Achievement,5,34,28.375,Achievement,5,10,8,-,4,62,No Reduction,12/2/2016,FRESENIUS MEDICAL CARE,6/20/2017
OSLO DIALYSIS,682615,100 S US HIGHWAY 1 ,VERO BEACH,FL,32962,7,Achievement,5,243,399,Achievement,5,5,440,491,285,Improvement,7,9,-,0.62%,3,485,Improvement,10,Achievement,6,12,8,7,No Score,5,19,N/A,N/A,5,N/A,5,9,10,-,24,22.455,7,Achievement,5,2,1.22,26.36276523,12,9.837,1.422,Achievement,5,72,68.766,Achievement,5,10,1,-,4,43,1.00%,1/10/2017,DAVITA,6/14/2017
BAYSHORE DIALYSIS,682616,16151 SLATER RD ,NORTH FORT MYERS,FL,33917,7,Achievement,5,149,298,Achievement,5,5,372,381,116,Improvement,7,10,-,0.00%,0,377,Achievement,10,Achievement,6,12,8,7,No Score,5,19,N/A,N/A,5,N/A,10,9,10,-,21,17.381,5,Achievement,5,3,1.114,14.4202601,8,5.388,No Ratio,Achievement,5,45,48.128,Achievement,5,10,9,-,4,57,0.50%,11/2/2016,DAVITA,11/2/2016
"CLERMONT DIALYSIS CENTER, LLC",682617,1625 HANCOCK ROAD ,CLERMONT,FL,34711,7,Achievement,5,236,318,Achievement,5,5,473,503,199,Achievement,7,9,-,1.60%,8,500,Improvement,10,Achievement,6,12,5,7,No Score,5,16,N/A,N/A,5,N/A,7,9,10,-,24,22.434,4,Achievement,5,0,1.657,20.6899384,14,8.064,No Ratio,Achievement,5,71,64.904,Achievement,5,10,1,-,4,49,0.50%,3/13/2017,AMERICAN RENAL ASSOCIATES,7/27/2017
ORLANDO AIRPORT DIALYSIS,682618,5778 S SEMORAN BLVD SUITE A,ORLANDO,FL,32822,7,Achievement,5,212,450,Achievement,5,5,482,501,202,Achievement,7,8,-,1.23%,6,488,Improvement,10,Achievement,6,12,8,7,No Score,5,12,N/A,N/A,5,N/A,8,9,10,-,33,29.252,23,Achievement,5,2,1.278,29.44558522,14,10.955,No Ratio,Achievement,5,129,96.701,Improvement,5,10,2,-,4,49,0.50%,4/3/2017,DAVITA,4/3/2017
"RENVIVA DIALYSIS CENTER OF CLEARWATER, LLC",682619,401 CORBETT SUITE 250,CLEARWATER,FL,33756,7,N/A,5,,,N/A,5,5,102,161,86,Improvement,7,10,-,0.00%,0,172,Achievement,10,N/A,6,,,7,No Score,10,N/A,N/A,N/A,5,N/A,9,9,10,-,2,4.282,4,Achievement,5,9,0.443,11.43326489,2,4.232,No Ratio,Achievement,5,24,24.899,Achievement,5,10,No Score,1,4,74,No Reduction,4/10/2017,NOT A CHAIN,8/7/2017
"DIALYSIS CARE CENTER LEESBURG,LLC",682620,600 W NORTH BOULEVARD SUITE B,LEESBURG,FL,34788,7,Achievement,5,49,94,Achievement,5,5,133,165,,Achievement,7,0,-,5.14%,9,175,Achievement,10,Achievement,6,9,1,7,No Score,10,N/A,N/A,N/A,5,N/A,0,9,10,-,14,7.155,4,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,35,20.387,Achievement,5,10,1,-,4,18,2.00%,4/28/2017,NOT A CHAIN,11/16/2017
BROOKSVILLE DIALYSIS,682621,7326 BROAD ST ,BROOKSVILLE,FL,34601,7,Achievement,5,165,251,Achievement,5,5,306,325,125,Improvement,7,6,-,2.69%,9,335,Improvement,10,Achievement,6,12,5,7,No Score,10,<11,N/A,N/A,5,N/A,7,9,10,-,15,13.54,3,Achievement,5,2,1.306,15.30732375,10,5.891,No Ratio,Achievement,5,52,39.928,Achievement,5,10,1,-,4,41,1.00%,2/15/2017,DAVITA,2/15/2017
HERNANDO HOME TRAINING,682622,4251 MARINER BLVD ,SPRING HILL,FL,34609,7,N/A,5,,,N/A,5,5,207,212,79,Improvement,7,6,-,2.95%,8,271,Improvement,10,N/A,6,,,7,No Score,"6, 10",N/A,N/A,N/A,5,N/A,7,9,10,-,10,8.423,,Achievement,5,6,0.85,14.22313484,5,4.588,No Ratio,Achievement,5,32,27.846,Achievement,5,10,No Score,1,4,60,No Reduction,5/30/2017,DAVITA,8/28/2017
FRESENIUS KIDNEY CARE REGENCY DIALYSIS,682623,1211 ST JOHNS BLUFF RD NORTH ,JACKSONVILLE,FL,32225,7,Achievement,5,139,145,Achievement,5,5,149,164,31,Achievement,7,0,-,31.25%,62,145,Achievement,10,Achievement,6,12,10,7,No Score,10,N/A,N/A,N/A,5,N/A,7,9,10,-,6,10.076,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,27,25.614,Achievement,5,8,0,-,4,63,No Reduction,6/26/2017,FRESENIUS MEDICAL CARE,12/1/2017
"VIP KIDNEY HEALTH, LLC",682624,2605 W ATLANTIC AVE C-101,DELRAY BEACH,FL,33445,7,N/A,5,,,N/A,5,5,177,207,59,Achievement,7,9,-,1.45%,3,207,Improvement,10,N/A,6,,,7,No Score,10,N/A,N/A,N/A,5,N/A,8,9,10,-,4,2.627,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,13,18.895,Achievement,5,10,No Score,1,4,61,No Reduction,8/7/2017,NOT A CHAIN,8/9/2017
FRESENIUS KIDNEY CARE AMELIA ISLAND,682625,960144 GATEWAY BLVD ,FERNANDINA BEACH,FL,32034,7,Achievement,5,112,241,Achievement,5,5,363,375,78,Achievement,7,10,-,0.00%,0,373,Achievement,10,Achievement,6,12,9,7,No Score,10,N/A,N/A,N/A,5,N/A,7,9,10,-,13,10.837,,Achievement,5,5,0.89,16.29295003,7,6.613,No Ratio,Achievement,5,46,44.772,Achievement,5,10,7,-,4,52,0.50%,9/6/2017,FRESENIUS MEDICAL CARE,12/29/2017
FRESENIUS KIDNEY CARE OF WELLINGTON WEST,682626,1221 S STATE ROAD 7 SUITE 101,WELLINGTON,FL,33414,7,Achievement,5,184,255,Achievement,5,5,377,412,80,Improvement,7,10,-,0.00%,0,446,Achievement,10,Achievement,6,12,8,7,No Score,10,N/A,N/A,N/A,5,N/A,10,9,10,-,10,10.864,0,Achievement,5,2,1.274,20.97467488,10,7.598,No Ratio,Achievement,5,54,47.95,Achievement,5,10,10,-,4,56,0.50%,7/21/2017,FRESENIUS MEDICAL CARE,7/21/2017
JACKSONVILLE WESTSIDE DIALYSIS,682627,5276 BLANDING BLVD SUITE 26,JACKSONVILLE,FL,32210,7,Achievement,5,165,264,Achievement,5,5,304,328,98,Improvement,7,9,-,0.32%,1,317,Improvement,10,Achievement,6,12,8,7,No Score,10,<11,N/A,N/A,5,N/A,5,9,10,-,21,17.82,15,Improvement,5,1,1.335,15.51813826,10,5.807,No Ratio,Achievement,5,64,47.042,Improvement,5,10,1,-,4,48,1.00%,5/18/2017,DAVITA,12/1/2017
FRESENIUS KIDNEY CARE ST AUGUSTINE SOUTH,682628,65 WHITEHALL DR ,SAINT AUGUSTINE,FL,32086,7,N/A,5,,,N/A,5,5,56,64,,Achievement,7,No Score,1,No Rate,,,N/A,10,Achievement,6,12,10,7,No Score,10,N/A,N/A,N/A,5,N/A,No Score,9,10,13,,,,N/A,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,,,N/A,5,No Score,No Score,1,4,55,0.50%,10/10/2017,FRESENIUS MEDICAL CARE,2/20/2018
TRINITY DIALYSIS,682629,2870 BUND AVE ,NEW PORT RICHEY,FL,34655,7,Achievement,5,202,259,Achievement,5,5,280,292,20,Improvement,7,0,-,3.10%,9,290,Achievement,10,Achievement,6,12,8,7,No Score,10,N/A,N/A,N/A,5,N/A,8,9,10,-,20,14.226,,Achievement,5,9,0.541,17.77960301,4,6.999,No Ratio,Achievement,5,40,40.654,Achievement,5,10,7,-,4,62,No Reduction,9/6/2017,DAVITA,2/27/2018
FALKENBURG DIALYSIS,682630,3140 S FALKENBURG ROAD SUITE 101,RIVERVIEW,FL,33578,7,Achievement,5,143,207,Achievement,5,5,208,224,,Achievement,7,0,-,4.37%,11,252,Achievement,10,Achievement,6,12,6,7,0,-,N/A,N/A,Achievement,5,Achievement,9,9,10,-,15,13.685,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,28,28.931,Achievement,5,9,4,-,4,41,1.00%,12/22/2017,DAVITA,5/1/2018
"CAPE CORAL KIDNEY CENTER, LLC",682631,2735 SANTA BARBARA BLVD SUITE 100-200,CAPE CORAL,FL,33914,7,Achievement,5,121,201,Achievement,5,5,262,287,,Achievement,7,0,-,3.47%,10,288,Achievement,10,N/A,6,12,,7,No Score,7,N/A,N/A,N/A,5,N/A,7,9,10,-,4,9.123,,Achievement,5,10,0.195,13.65366188,1,5.137,No Ratio,Achievement,5,22,45.145,Achievement,5,10,0,-,4,63,No Reduction,3/9/2018,AMERICAN RENAL ASSOCIATES,4/26/2018
PORT ORANGE DAVITA DIALYSIS,682632,3997 S NOVA ROAD ,PORT ORANGE,FL,32127,7,Achievement,5,74,83,Achievement,5,5,123,141,,Achievement,7,0,-,19.57%,27,138,Achievement,10,N/A,6,12,,7,No Score,7,N/A,N/A,N/A,5,N/A,3,9,10,-,3,3.509,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,14,11.064,Achievement,5,5,0,-,4,50,0.50%,2/26/2018,DAVITA,8/3/2018
WELLINGTON DIALYSIS,682633,573 N STATE ROAD 7 ,ROYAL PALM BEACH,FL,33411,7,Achievement,5,50,81,Achievement,5,5,133,136,,Achievement,7,10,-,0.00%,0,131,Achievement,10,Achievement,6,12,4,7,No Score,10,N/A,N/A,N/A,5,N/A,10,9,10,-,6,7.087,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,19,17.526,Achievement,5,10,6,-,4,74,No Reduction,12/27/2017,DAVITA,5/25/2018
FRESENIUS KIDNEY CARE PERRINE,682634,10850 SW 184TH STREET ,MIAMI,FL,33157,7,Achievement,5,58,81,Achievement,5,5,105,107,,Achievement,7,10,-,0.00%,0,103,Achievement,10,Achievement,6,12,10,7,No Score,10,N/A,N/A,N/A,5,N/A,10,9,10,-,2,3.901,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,10,11.434,Achievement,5,10,9,-,4,90,No Reduction,11/15/2017,FRESENIUS MEDICAL CARE,4/20/2018
SEBASTIAN DIALYSIS CARE CENTER,682635,1807 US HIGHWAY1 ,SEBASTIAN,FL,32958,7,Achievement,5,134,181,Achievement,5,5,222,234,,Achievement,7,5,-,1.28%,3,234,Achievement,10,N/A,6,8,,7,No Score,7,N/A,N/A,N/A,5,N/A,10,9,10,-,6,9.302,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,14,22.015,Achievement,5,5,8,-,4,77,No Reduction,2/21/2018,AMERICAN RENAL ASSOCIATES,5/14/2018
FRESENIUS KIDNEY CARE TOWN AND COUNTRY,682636,5951 WEBB ROAD ,TAMPA,FL,33615,7,Achievement,5,70,103,Achievement,5,5,92,105,,Achievement,7,0,-,3.42%,4,99,Achievement,10,N/A,6,0,,7,No Score,7,N/A,N/A,N/A,5,N/A,9,9,10,-,1,5.799,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,11,16.345,Achievement,5,10,3,-,4,54,0.50%,1/31/2018,FRESENIUS MEDICAL CARE,5/15/2018
ALAFAYA DIALYSIS,682637,12001 SCIENCE DRIVE SUITE 110,ORLANDO,FL,32826,7,N/A,5,,,N/A,5,5,63,65,,Achievement,7,7,-,0.78%,1,64,Achievement,10,N/A,6,12,,7,No Score,7,N/A,N/A,N/A,5,N/A,No Score,9,10,13,,,,N/A,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,,,N/A,5,10,10,-,4,84,No Reduction,3/21/2018,DAVITA,7/9/2018
WEST ORANGE ORLANDO DIALYSIS CENTER LLC,682638,828 MERCY DRIVE SUITE 2,ORLANDO,FL,32808,7,N/A,5,,,N/A,5,5,89,110,,Achievement,7,0,-,9.38%,13,112,Achievement,10,N/A,6,0,,7,No Score,7,N/A,N/A,N/A,5,N/A,8,9,10,-,12,6.34,,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,23,10.401,Achievement,5,0,4,-,4,7,2.00%,3/7/2018,NOT A CHAIN,7/23/2018
FRESENIUS KIDNEY CARE CENTRAL PENSACOLA,682639,5476 MOBILE HIGHWAY ,PENSACOLA,FL,32526,7,Achievement,5,142,199,Achievement,5,5,182,183,,Achievement,7,10,-,0.00%,0,172,Achievement,10,N/A,6,9,,7,No Score,7,N/A,N/A,N/A,5,N/A,8,9,10,-,2,4.401,,Achievement,5,10,0,10.32991102,0,3.784,No Ratio,Achievement,5,16,16.855,Achievement,5,10,1,-,4,86,No Reduction,5/2/2018,FRESENIUS MEDICAL CARE,7/23/2018
